agent_id,age,gender,education_level,years_experience,industry,employment_status,ai_usage_frequency,trust_in_ai_tools,perceived_fairness_of_ai_hiring,confidence_in_getting_interview,connection_size
A001,21,Male,Bachelor's (in progress),1,Finance,Passively looking,Sometimes,3,3,3,5
A002,27,Female,Master's,5,Tech,Already employed,Often,4,4,5,10
A003,25,Male,Bachelor's,3,Healthcare,Actively applying,Often,3,2,4,18
A004,24,Male,Bachelor's,1,Consulting,Actively applying,Often,3,3,4,18
A005,23,Female,Bachelor's,2,Consulting,Already employed,Very often,4,3,5,18
A006,21,Female,Bachelor's (in progress),0,Healthcare,Actively applying,Often,4,3,3,10
A007,27,Female,Bachelor's,2,Healthcare,Passively looking,Very often,5,5,3,1
A008,22,Female,Bachelor's (in progress),0,Tech,Actively applying,Sometimes,2,1,2,10
A009,22,Female,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,5,4,2,20
A010,21,Nonbinary,Bachelor's (in progress),0,Tech,Already employed,Sometimes,3,2,5,20
A011,18,Male,Bachelor's (in progress),0,Finance,Actively applying,Very often,4,4,3,10
A012,20,Female,Bachelor's (in progress),0,Healthcare,Passively looking,Sometimes,2,2,4,10
A013,22,Male,Bachelor's (in progress),0,Tech,Passively looking,Very often,5,5,3,15
A014,24,Male,Bachelor's,2,Tech,Passively looking,Very often,5,5,3,7
A015,20,Female,Bachelor's (in progress),0,Marketing,Actively applying,Sometimes,3,2,4,10
A016,20,Male,Bachelor's (in progress),0,Education,Actively applying,Often,3,3,4,5
A017,23,Male,Bachelor's,1,Healthcare,Passively looking,Rarely,2,2,4,18
A018,20,Female,Bachelor's (in progress),0,Finance,Passively looking,Sometimes,2,2,4,5
A019,23,Female,Bachelor's (in progress),2,Marketing,Passively looking,Often,3,3,3,7
A020,26,Female,Bachelor's,3,Healthcare,Already employed,Sometimes,2,2,5,15
A021,20,Male,Bachelor's (in progress),0,Healthcare,Actively applying,Very often,5,5,3,15
A022,20,Male,Bachelor's (in progress),0,Consulting,Already employed,Often,4,4,4,15
A023,22,Male,Bachelor's (in progress),0,Tech,Actively applying,Very often,5,5,3,20
A024,22,Male,Bachelor's (in progress),0,Tech,Passively looking,Very often,4,3,3,5
A025,21,Male,Bachelor's (in progress),1,Marketing,Already employed,Very often,5,4,4,5
A026,21,Male,Bachelor's (in progress),1,Tech,Actively applying,Sometimes,2,1,2,10
